,Airport Name,Annual OTP,No. of operations,Country,Sub Region,Star Rating
37,Hakodate,85.8,18545,Japan,North East Asia,5*
38,Matsuyama,85.8,27843,Japan,North East Asia,5*
39,Miyazaki,85.7,41718,Japan,North East Asia,5*
40,Campo Grande,85.7,13432,Brazil,Upper South America,5*
41,Okayama,85.6,11544,Japan,North East Asia,5*
42,Paris Beauvais-Tille Airport,85.6,22199,France,Western Europe,5*
43,Boise,85.5,47558,USA,North America,5*
44,Kaohsiung,85.4,51122,Chinese Taipei,North East Asia,5*
45,Liverpool,85.4,34855,United Kingdom,Western Europe,5*
46,New Ishigaki,85.4,24459,Japan,North East Asia,5*
47,Ciudad Juarez,85.3,11405,Mexico,Central America,5*
48,Vitoria (BR),85.3,25632,Brazil,Upper South America,5*
49,Kumamoto,85.2,32356,Japan,North East Asia,5*
50,Rio de Janeiro Santos Dumont Apt,85.2,91779,Brazil,Upper South America,5*
51,Uberlandia,85.1,11425,Brazil,Upper South America,4*
52,Cairns,85.1,47311,Australia,Southwest Pacific,4*
53,Fresno Yosemite International Airport,85,24058,USA,North America,4*
54,Spokane International Apt,84.9,40710,USA,North America,4*
55,Cologne/Bonn Apt,84.9,93951,Germany,Western Europe,4*
56,Durban King Shaka International Apt,84.8,48200,South Africa,Southern Africa,4*
57,Minneapolis/St Paul International Apt,84.8,374405,USA,North America,4*
58,Portland International,84.7,184429,USA,North America,4*
59,Porto Seguro,84.7,11370,Brazil,Upper South America,4*
60,San Salvador (SV),84.7,42600,El Salvador,Central America,4*
61,Curitiba Afonso Pena Intl,84.7,58460,Brazil,Upper South America,4*
62,Anchorage Ted Stevens Intl Apt,84.7,81126,USA,North America,4*
63,Brasilia,84.6,129138,Brazil,Upper South America,4*
64,Port Blair,84.6,10596,India,South Asia,4*
65,Dammam,84.6,78153,Saudi Arabia,Middle East,4*
66,Belo Horizonte Tancredo Neves Int Apt,84.6,96622,Brazil,Upper South America,4*
67,Cuiaba,84.6,27991,Brazil,Upper South America,4*
68,Suva,84.6,9074,Fiji,Southwest Pacific,4*
69,Sao Luiz,84.5,13752,Brazil,Upper South America,4*
70,Brussels S. Charleroi Airport,84.4,47448,Belgium,Western Europe,4*
71,Jazan,84.4,19652,Saudi Arabia,Middle East,4*
72,Cape Town,84.4,89272,South Africa,Southern Africa,4*
73,Stavanger,84.4,43534,Norway,Western Europe,4*
74,Redmond/Bend,84.3,15060,USA,North America,4*
75,St Petersburg Pulkovo Apt,84.3,135192,Russian Federation,Eastern/Central Europe,4*
76,Canberra,84.2,40734,Australia,Southwest Pacific,4*
77,Kagoshima,84.2,67180,Japan,North East Asia,4*
78,Athens,84.2,181324,Greece,Western Europe,4*
79,Sao Paulo Viracopos-Campinas Intl Apt,84.1,95591,Brazil,Upper South America,4*
80,Perth,84.1,95002,Australia,Southwest Pacific,4*
81,Billings,84.1,19787,USA,North America,4*
82,Missoula,84,10506,USA,North America,4*
83,Mexico City Juarez Intl,84,400537,Mexico,Central America,4*
84,Rio de Janeiro Galeao-A.C.Jobim Int Apt,84,111279,Brazil,Upper South America,4*
85,Londrina,84,9541,Brazil,Upper South America,4*
86,Adelaide International,83.9,76572,Australia,Southwest Pacific,4*
87,Amami,83.9,15228,Japan,North East Asia,4*
88,Nagoya Chubu Centrair International Apt,83.9,104321,Japan,North East Asia,4*
89,Fuerteventura,83.8,42153,Spain,Western Europe,4*
90,Sapporo New Chitose Apt,83.8,165853,Japan,North East Asia,4*
91,New Plymouth,83.8,10028,New Zealand,Southwest Pacific,4*
92,Menorca,83.8,23860,Spain,Western Europe,4*
93,Stuttgart Airport,83.7,101167,Germany,Western Europe,4*
94,Bozeman,83.7,13828,USA,North America,4*
95,Lafayette Regional Apt,83.7,9331,USA,North America,4*
96,Natal,83.6,16813,Brazil,Upper South America,4*
97,Milan Linate Apt,83.6,97444,Italy,Western Europe,4*
98,Amarillo Rick Husband Intl Apt,83.5,11224,USA,North America,4*
99,Abha,83.5,37104,Saudi Arabia,Middle East,4*
100,Sao Paulo Congonhas Apt,83.5,176485,Brazil,Upper South America,4*
101,Destin/Ft Walton Beach Apt,83.4,14423,USA,North America,4*
102,Green Bay,83.4,11262,USA,North America,4*
103,Aracaju,83.4,9244,Brazil,Upper South America,4*
104,Brisbane,83.4,191322,Australia,Southwest Pacific,4*
105,Eugene,83.4,16674,USA,North America,4*
106,Wroclaw,83.4,22466,Poland,Eastern/Central Europe,4*
107,Porto Alegre,83.3,65572,Brazil,Upper South America,4*
108,Fargo,83.3,14523,USA,North America,4*
109,Detroit Metropolitan Wayne County,83.3,380712,USA,North America,4*
110,Wellington,83.2,82933,New Zealand,Southwest Pacific,4*
111,Bahrain,83.2,77157,Bahrain,Middle East,4*
112,Tauranga,83.2,9862,New Zealand,Southwest Pacific,4*
113,Santa Ana,83.2,91487,USA,North America,4*
114,Atlanta Hartsfield-jackson Intl Apt,83.1,858362,USA,North America,4*
115,Gdansk Lech Walesa,83.1,35996,Poland,Eastern/Central Europe,4*
116,Bismarck,83.1,9309,USA,North America,4*
