Ural Airlines,Russia,3,Y,Y,Y,Y, 100 
UTair,Russia,3,Y,N,Y,Y, 85.714285714286 
Uzbekistan Airways,Uzbekistan,3,Y,Y,Y,Y, 100 
Vanilla Air,Japan,0,Y,Y,Y,Y, 57.142857142857 
Venezolana,Venezuela,0,Y,Y,Y,Y, 57.142857142857 
Vieques Air Link,Puerto Rico,0,Y,Y,Y,Y, 57.142857142857 
VietJet Air,Vietnam,3,Y,Y,Y,Y, 100 
Vietnam Airlines,Vietnam,3,Y,Y,Y,Y, 100 
Virgin Atlantic,United Kingdom,3,Y,Y,Y,Y, 100 
Virgin Australia,Australia,3,Y,Y,Y,Y, 100 
Virgin Australia Regional,Australia,3,Y,Y,Y,Y, 100 
Viva Aerobus,Mexico,0,Y,Y,Y,Y, 57.142857142857 
Volaris,Mexico,3,Y,Y,Y,Y, 100 
Volotea,Spain,3,Y,Y,Y,Y, 100 
Vueling,Spain,3,Y,Y,Y,Y, 100 
Wasaya Airways,Canada,0,Y,Y,Y,Y, 57.142857142857 
WestJet,Canada,3,Y,Y,Y,Y, 100 
Wideroe,Norway,3,Y,Y,Y,Y, 100 
Wizz,Hungary,3,Y,Y,Y,Y, 100 
WOW Air,Iceland,0,Y,Y,Y,Y, 57.142857142857 
Xiamen Airlines,China,3,Y,Y,Y,Y, 100 
XL Airways France,France,3,Y,Y,Y,Y, 100 
Yakutia,Russia,3,Y,Y,Y,Y, 100 
