AIRLINE_NAME,FOOD_RATE,ENTERTAINMENT_RATE,SEAT_RATE,SERVICE_RATE,MONEY_RATE
Japan Airlines,4,4,4,4,4
Jazeera Airways,2,1,2,2,3
Jazz,4,3,3,5,4
Jeju Air,2,1,2,3,3
Jet Airways,3,2,3,3,3
Jet2.com,3,1,3,4,4
Jetairfly,3,3,3,4,3
Jetblue Airways,3,3,3,3,3
Jetstar Airways,2,2,3,3,3
Jetstar Asia,2,1,3,3,3
Jetstar Japan,2,1,2,2,2
Jetstar Pacific,2,1,2,2,2
JetsuiteX,5,0,5,5,5
Jin Air,3,1,3,4,4
Joon,2,3,2,3,2
Jordan Aviation,4,0,5,5,5
Juneyao Airlines,2,1,3,3,3
Kam Air,0,0,0,0,0
Kan Air,3,0,4,4,3
Karthago Airlines,0,0,0,0,3
KD Air,0,0,0,0,1
Kenya Airways,3,2,3,3,3
Kish Airlines,3,1,3,3,3
KLM Royal Dutch Airlines,3,3,3,4,4
Korean Air,4,4,4,4,4
Kulula,2,1,2,3,3
Kuwait Airways,3,2,3,3,3
La Compagnie,4,3,4,4,4
LAM Mozambique,3,2,3,3,2
LAN Airlines,3,3,4,4,3
LAN Colombia,3,4,4,4,4
LAN Peru,3,3,3,4,3
Lao Airlines,3,2,4,4,4
LATAM Airlines,2,3,3,3,2
Laudamotion,3,1,2,2,3
LC Perú,3,3,3,3,2
Level,2,4,3,3,2
LIAT,1,0,2,2,2
Libyan Airlines,3,2,2,2,2
Lion Air,1,1,2,2,3
Loch Lomond Seaplanes,0,5,5,5,5
Loganair,5,0,4,4,3
LOT Polish Airlines,3,2,3,3,3
Lucky Air,3,0,4,3,2
Lufthansa,4,4,3,4,4
Luxair,4,2,3,3,3
Xiamen Airlines,3,2,3,3,3
XL Airways France,3,2,2,3,3
Camair-Co,1,0,2,2,2
Cambodia Angkor Air,2,1,3,3,3
Cambodia Bayon Airlines,2,0,3,4,4
Canadian North,4,0,4,4,3
Canaryfly,3,0,3,4,4
Cape Air,0,0,2,2,2
Caribbean Airlines,3,2,3,3,3
Carpatair,0,0,0,0,4
Cathay Dragon,4,4,4,4,4
Cathay Pacific Airways,3,4,4,4,4
Cayman Airways,2,0,3,3,2
Cebu Pacific,2,1,3,3,3
Central Mountain Air,2,0,2,3,3
China Airlines,3,3,3,4,4
China Eastern Airlines,3,2,3,3,3
China Southern Airlines,4,4,4,4,4
China United Airlines,3,1,3,2,3
Citilink,3,0,3,4,4
CityJet,3,1,3,3,3
Coastal Aviation,0,0,4,5,5
Cobalt,4,2,4,4,4
Comair,3,2,3,3,3
Condor Airlines,3,2,3,3,3
Conviasa,0,0,0,0,4
Copa Airlines,3,2,3,3,3
Corendon Airlines,3,2,3,3,3
Corsair,2,2,2,3,3
Croatia Airlines,3,1,3,4,3
CSA Czech Airlines,3,2,3,3,3
Cubana Airlines,2,1,3,3,2
Cyprus Airways,1,0,1,3,1
V Air,4,3,3,3,3
Vanilla Air,3,1,3,4,3
ViaAir,1,0,2,2,1
VietJet Air,2,1,2,3,2
Vietnam Airlines,3,2,3,3,4
Virgin America,3,4,4,3,3
Virgin Atlantic,3,3,3,3,3
Virgin Australia,3,3,3,3,3
Vistara,4,3,5,5,4
VivaAerobús,3,0,2,2,2
VivaColombia,1,1,2,1,2
VLM Airlines,4,0,4,5,4
Volaris,2,1,2,2,2
Volotea,2,1,3,3,2
Vueling Airlines,2,1,2,2,2
BA CityFlyer,4,0,4,4,4
Badr Airlines,5,0,3,5,4
Bahamasair,2,2,2,2,2
Bangkok Airways,4,1,4,4,4
Bassaka Air,5,0,4,4,4
Batik Air,3,3,4,4,3
Beijing Capital Airlines,2,2,4,5,4
Belavia,3,2,3,3,3
Berjaya Air,3,3,3,3,4
BH Air,3,0,4,3,4
Bhutan Airlines,3,4,4,4,4
Biman Bangladesh Airlines,3,2,3,3,3
Binter Canarias,4,0,4,5,4
Blu-express,1,1,1,1,2
Blue Air,3,2,3,3,3
Blue Islands,2,1,3,3,3
Blue Panorama Airlines,2,1,2,2,2
Blue1,2,0,3,3,3
bmi Regional,3,2,3,4,3
Boliviana de Aviacion,3,2,3,3,4
BoraJet,3,0,3,3,1
Boutique Air,0,0,2,2,1
British Airways,3,3,3,3,3
Brussels Airlines,3,2,3,3,3
Buddha Air,3,2,3,4,3
Bulgaria Air,2,0,2,3,3
Buraq Air,0,0,4,4,4
NAM Air,3,0,2,3,3
Nature Air,0,0,3,3,1
Nauru Airlines,4,1,5,5,4
Nepal Airlines,3,2,3,4,4
NextJet,4,0,1,2,1
NIKI,3,2,3,3,3
Nile Air,4,0,3,4,5
Nok Air,3,1,3,4,4
Nordavia,5,5,4,5,2
Nordic Regional Airlines,2,0,3,3,3
Nordica,2,0,5,5,4
Nordwind Airlines,1,0,3,2,4
Norwegian,3,3,3,3,3
Nouvelair,2,1,2,3,2
Novair,0,0,0,0,1
Madagasikara Airways,5,0,4,5,5
Mahan Air,4,3,4,4,4
Malawian Airlines,4,0,3,4,3
Malaysia Airlines,3,3,3,4,4
Maldivian,3,0,3,4,3
Malindo Air,3,3,3,3,3
Malmo Aviation,5,5,5,5,5
Mandarin Airlines,3,0,4,4,4
Mango Airlines,3,2,3,3,3
Mann Yadanarpon Airlines,5,0,3,5,2
Martinair,0,0,0,0,2
Mauritania Airlines,1,0,1,1,2
MAYAir,0,0,3,4,4
MEGA Maldives Airlines,2,0,1,4,1
Meridiana,3,2,3,3,3
MIAT Mongolian Airlines,3,2,3,4,3
Middle East Airlines,3,3,3,3,3
Mihin Lanka,2,1,3,3,4
Mokulele Airlines,1,0,3,3,2
Moldavian Airlines,0,0,0,0,4
Monarch Airlines,3,1,3,4,3
Montenegro Airlines,3,1,4,3,4
Motor Sich Airlines,3,0,1,4,5
Myanmar Airways,3,1,4,4,4
Myanmar National Airlines,4,4,4,5,4
